feature,importance
sentence_count,0.020234168
sentiment_polarity,0.019528
title_word_count,0.013892646
body_word_count,0.012043326
word_count,0.011699327
embedding_105,0.010048223
total_text_length,0.009447765
embedding_302,0.0077976743
hour_posted,0.007014013
avg_word_length,0.00681361
embedding_319,0.006042879
uppercase_count,0.0055588204
title_length,0.005492992
day_of_week,0.005309828
embedding_223,0.004610436
embedding_235,0.0045749946
embedding_134,0.004392903
embedding_256,0.00427914
embedding_205,0.0042405464
embedding_192,0.004032982
embedding_126,0.003866885
embedding_59,0.0038332625
embedding_329,0.003779523
embedding_285,0.0037707433
embedding_48,0.0037439363
embedding_211,0.0037243292
embedding_136,0.0036345236
embedding_196,0.003565225
embedding_118,0.0035396493
embedding_367,0.0035332344
