feature,importance
embedding_300,0.0046762796
embedding_20,0.004619635
embedding_113,0.0041978834
embedding_266,0.003987151
embedding_309,0.0039040928
embedding_181,0.0038850277
embedding_100,0.0038794829
embedding_33,0.0038445478
embedding_78,0.0036814932
embedding_109,0.0035994782
embedding_310,0.0035751034
embedding_237,0.003494742
embedding_192,0.003454957
embedding_359,0.0034381845
embedding_102,0.0034226147
embedding_180,0.003416726
embedding_331,0.003415022
embedding_208,0.0034067302
embedding_49,0.0033819927
embedding_38,0.003377263
embedding_271,0.0033682196
embedding_94,0.003365301
embedding_206,0.0033274754
embedding_257,0.003326345
embedding_230,0.0033207259
embedding_197,0.0033057432
embedding_268,0.0033018622
embedding_233,0.0032945487
embedding_21,0.003291972
embedding_150,0.0032789744
