feature,importance
title_word_count,0.018312985
sentence_count,0.016659213
sentiment_polarity,0.01435582
word_count,0.010268909
body_word_count,0.0096474895
embedding_302,0.008351451
avg_word_length,0.0071410756
hour_posted,0.0058396906
uppercase_count,0.0057405336
embedding_136,0.005595864
total_text_length,0.0053116106
day_of_week,0.0052445405
body_length,0.005141016
title_length,0.005078277
embedding_223,0.004817539
embedding_173,0.0044542775
embedding_143,0.0043697054
embedding_205,0.004226553
embedding_127,0.004137638
embedding_305,0.003876546
embedding_53,0.0036799875
embedding_122,0.003545849
embedding_319,0.0035370032
title_sentiment,0.003363239
body_sentiment,0.0033547757
embedding_105,0.0033442043
embedding_134,0.0032126626
embedding_288,0.0031957962
embedding_52,0.0031461024
embedding_106,0.0031174459
