feature,importance
sentiment_polarity,0.027280806
embedding_338,0.02190917
title_word_count,0.020974169
exclamation_marks,0.019922707
body_word_count,0.017695785
word_count,0.014033048
embedding_256,0.013057702
uppercase_count,0.010456312
total_text_length,0.009052829
sentence_count,0.008894113
embedding_372,0.0067438483
embedding_173,0.0065907333
embedding_231,0.0065864525
embedding_210,0.0060285055
embedding_59,0.0057132463
embedding_120,0.005667649
embedding_207,0.005610649
body_length,0.0054590413
title_length,0.0053794603
hour_posted,0.0051909653
embedding_52,0.0048169503
embedding_315,0.004574673
embedding_223,0.0045554535
day_of_week,0.004518474
embedding_134,0.0044714115
embedding_285,0.0043295417
embedding_79,0.004320556
avg_word_length,0.004302762
embedding_34,0.0042211385
embedding_105,0.004200862
