feature,importance
virality_score,0.86979
embedding_140,0.008011909
embedding_194,0.0077205817
embedding_336,0.006026643
embedding_44,0.005832845
embedding_262,0.0056827865
embedding_275,0.00524707
embedding_218,0.005164778
embedding_299,0.004859787
embedding_35,0.0041562463
embedding_80,0.004005836
embedding_357,0.003927232
embedding_369,0.0037092587
embedding_377,0.0033051688
embedding_98,0.0032198029
embedding_188,0.0031664022
embedding_241,0.0030945858
embedding_272,0.0030807338
embedding_204,0.0029879836
embedding_278,0.0027734912
embedding_99,0.0022887003
embedding_13,0.0022712096
embedding_276,0.002138436
embedding_173,0.0020768165
embedding_205,0.0019011517
embedding_59,0.0015813741
embedding_60,0.0014409209
embedding_5,0.0014233683
embedding_354,0.0014080084
embedding_137,0.0013353578
