feature,importance
exclamation_count,0.021766454
embedding_264,0.021149013
text_length,0.014152034
embedding_224,0.009775278
has_mention,0.008759004
has_hashtag,0.0073567666
uppercase_count,0.0067911246
embedding_63,0.006504021
word_count,0.006140777
embedding_233,0.0054768757
embedding_303,0.0054429057
emoji_count,0.0052073747
embedding_171,0.005132527
embedding_194,0.005096738
sentence_count,0.0047861338
has_url,0.0047050603
embedding_270,0.0046888245
embedding_377,0.004655756
embedding_170,0.004640904
embedding_223,0.00447568
embedding_166,0.004387663
avg_word_length,0.0043710093
embedding_256,0.004342647
sentiment_subjectivity,0.0043273247
embedding_117,0.004214996
embedding_310,0.0041872826
embedding_143,0.0041769696
embedding_94,0.0041698148
embedding_75,0.0040701465
embedding_319,0.004029285
